X,Y,Z,M
28.411198,3.367737,-9.596,2.487065063
28.375424,3.54356,-6.624,2.263545072
28.41214,3.375756,-8.324,2.417615104
28.256447,3.549625,-9.239,2.83220768
28.336312,3.445651,-11.972,2.537603651
28.396426,3.347762,-6.91,2.965796344
28.242483,3.588545,-8.808,2.836461726
28.376835,3.578021,-7.6,2.679743772
28.651476,3.421653,-8.433,2.947372059
28.362956,3.613556,-6.704,2.827333227
28.365285,3.617373,-7.545,3.186930341
28.368229,3.622856,-8.923,4.533113733
28.36441,3.625262,-8.298,3.188634342
28.64821,3.428581,-10.071,3.105477287
28.639266,3.439434,-10.095,2.920221424
28.360344,3.612232,-9.82,3.010778965
28.362873,3.613744,-8.282,3.036754598
28.416524,3.558499,-7.673,2.568767862
28.367367,3.447266,-8.429,2.965341258
28.353435,3.404728,-7.434,2.680468701
28.106596,3.72995,-8.802,3.902392861
28.381946,3.608398,-8.354,2.700325023
28.359415,3.521954,-4.103,2.949894038
28.366784,3.472715,-8.581,2.490220023
28.369593,3.477498,-9.023,2.553812691
28.38207,3.597957,-8.668,2.250199325
28.41145,3.372713,-8.404,2.952273306
28.250365,3.595261,-9.764,3.247465252
28.252692,3.59806,-9.037,2.740211047
28.394945,3.602749,-9.173,2.389151362
28.248856,3.59348,-9.742,2.676598484
28.258502,3.559395,-8.801,2.42060906
28.359325,3.621718,-8.898,2.652470921
28.358342,3.612027,-7.509,2.486933773
28.391425,3.615258,-7.68,2.465294344
28.397598,3.588029,-9.234,2.432799881
28.363122,3.598921,-8.503,2.631198452
28.272707,3.542613,-9.958,2.481408957
28.37444,3.542437,-7.25,2.40432103
28.349981,3.610935,-8.388,2.383645487
28.239512,3.578968,-6.241,2.49101524
28.366799,3.432856,-9.422,2.34388733
28.389522,3.436111,-7.382,2.639267229
28.37904,3.350208,-9.447,2.322969619
28.386359,3.610942,-6.654,2.766508037
28.353584,3.401213,-5.768,3.291837117
28.242974,3.601049,-8.434,2.982219444
28.382775,3.594278,-7.48,2.698754674
28.38242,3.27524,-6.853,3.585280265
28.402203,3.376721,-9.898,3.178758773
28.365361,3.607846,-8.634,2.859688603
28.240682,3.587967,-7.707,3.022106993
28.241229,3.5859,-7.069,3.263938181
28.381326,3.547124,-5.008,2.652502771
28.241391,3.564863,-10.507,2.614568173
28.410648,3.623576,-7.517,2.415305379
28.243146,3.562819,-10.179,2.870778839
28.243897,3.601231,-8.756,3.053707895
28.355401,3.515755,-9.916,3.147238324
28.402496,3.38203,-8.251,2.964552379
28.389842,3.245915,-4.582,2.570779256
28.377548,3.568751,-8.349,2.572885439
28.376465,3.589228,-6.302,2.970412239
28.39106,3.643642,-8.503,2.411981988
28.361251,3.611915,-8.606,3.092988494
28.374412,3.509763,-10.548,2.602858528
28.365332,3.439426,-11.106,3.297006297
28.242092,3.542651,-6.826,2.529333971
28.362247,3.612056,-9.457,4.238133477
28.370471,3.604896,-7.992,2.543609198
28.358232,3.616242,-8.705,2.829986558
28.36266,3.603461,-9.48,2.5682788
28.358167,3.611367,-6.533,2.71277019
28.361088,3.629143,-7.922,2.552667266
28.409816,3.395704,-11.805,2.671979796
28.391137,3.35822,-10.348,2.748226995
28.365598,3.404407,-8.149,2.756455629
28.381866,3.577198,-7.583,3.742952323
28.382429,3.575757,-7.295,2.935516001
28.388427,3.577732,-8.535,3.019071142
28.377387,3.621554,-8.91,2.52744353
28.397404,3.387827,-9.214,2.645577869
28.384963,3.509998,-7.982,2.974030396
28.376979,3.544108,-5.846,2.468677164
28.257992,3.558818,-9.767,2.508504959
28.414736,3.363819,-11.751,2.196911385
28.358465,3.618933,-8.65,2.624980159
28.390685,3.607488,-5.771,2.894088288
28.244025,3.568978,-9.923,2.38879403
28.402437,3.577346,-8.836,2.239730099
28.36235,3.621193,-7.299,2.319087664
28.24144,3.567333,-10.228,2.603435358
28.363745,3.533419,-9.791,3.121259263
28.367496,3.617368,-8.332,2.566969533
28.362604,3.53534,-9.62,2.911169802
28.367086,3.373084,-12.192,3.12678743
28.359092,3.383913,-10.583,2.477328766
28.377044,3.59128,-3.882,2.391325471
28.249399,3.556359,-7.654,2.475266641
28.380412,3.608836,-7.866,2.477547489
28.364087,3.369903,-12.249,3.217967178
28.370813,3.367217,-8.293,2.609135326
28.370289,3.374167,-10.568,3.166821548
28.368034,3.379769,-9.35,2.851220897
28.359496,3.60975,-8.207,3.252278854
28.420264,3.352115,-8.887,2.500519461
28.42751,3.350023,-9.524,2.414611771
28.38646,3.562648,-7.863,2.331475907
28.394663,3.598549,-8.98,2.994978912
28.368533,3.477576,-7.747,2.36932563
28.402001,3.390303,-7.23,2.479501047
28.369494,3.61366,-8.303,2.523454468
28.359138,3.611637,-8.816,3.405294444
28.357,3.615237,-9.343,3.281098433
28.41015,3.380524,-8.33,2.227580684
28.402828,3.439262,-5.921,2.866895368
28.243302,3.58578,-9.086,2.789652013
28.374849,3.372218,-7.583,2.265946363
28.407532,3.386656,-6.87,2.497663356
28.363972,3.402448,-9.356,2.417746788
28.366107,3.618114,-8.876,2.848836112
28.243598,3.568443,-9.878,2.838544337
28.405391,3.399962,-6.319,2.503076484
28.356921,3.469826,-6.981,3.053326482
28.402898,3.577394,-4.37,2.860059505
28.244839,3.568744,-9.507,3.13219655
28.400824,3.58675,-5.488,2.456755768
28.414053,3.381992,-7.859,2.460014574
28.395298,3.597773,-7.111,2.534386129
28.375699,3.371411,-8.117,2.592805106
28.3585,3.619507,-8.587,2.481205194
28.369989,3.487326,-7,2.43700554
28.37852,3.571792,-9.02,2.596031119
28.361721,3.376734,-11.786,2.535384827
28.360034,3.31597,-6.308,2.631294245
28.377909,3.613847,-8.278,2.429219944
28.384893,3.595674,-8.381,2.445628376
28.244921,3.592006,-8.885,2.494003427
28.392439,3.550044,-7.998,2.502403073
28.405537,3.388286,-8.299,2.282237278
28.399856,3.391523,-8.729,2.28495495
28.394274,3.555688,-10.874,2.338783331
28.369254,3.477377,-6.926,2.278196489
28.421992,3.382568,-6.13,2.120863554
28.367578,3.408247,-6.964,2.233772973
28.355838,3.613481,-8.507,3.061283471
28.245767,3.596041,-9.575,3.054598335
28.396181,3.348642,-6.601,2.433324873
28.38468,3.409397,-6.882,2.472822545
28.394303,3.589812,-11.416,2.446634846
28.357646,3.634979,-10.661,2.473483133
28.342677,3.458754,-6.36,2.236007873
28.359235,3.617142,-7.602,2.803982044
28.37737,3.351696,-11.028,2.756894666
28.368122,3.480893,-7.049,2.639677007
28.427854,3.377653,-6.131,3.042407975
28.373695,3.370455,-8.16,2.590871762
28.377926,3.512503,-8.901,2.835566725
28.396381,3.6165,-6.315,3.216305583
28.417723,3.389237,-7.377,3.268876387
28.395134,3.617469,-6.199,3.811608689
28.372997,3.400116,-9.394,3.076706121
28.402818,3.388789,-8.646,3.091423987
28.36227,3.607748,-8.607,2.458392162
28.4184,3.380565,-8.067,2.708530691
28.400648,3.362177,-8.691,2.37969498
28.398289,3.612707,-6.183,2.814784405
28.413412,3.384718,-8.77,2.589184825
28.390012,3.607871,-5.783,2.5633456
28.238974,3.559122,-9.117,3.015711908
28.386157,3.27377,-6.563,3.03357221
28.398236,3.394366,-10.081,3.643062819
28.378989,3.624655,-5.954,2.952085164
28.241907,3.56125,-9.257,2.97373518
28.395758,3.559833,-10.103,3.214096243
28.41568,3.58389,-8.904,3.907175657
28.641186,3.43862,-11.584,3.292126774
28.352786,3.52558,-11.204,3.227977
28.361378,3.363193,-6.562,3.329306905
28.24092,3.587781,-9.089,3.405974565
28.364862,3.611773,-8.238,2.364480754
28.417419,3.367508,-9.387,2.504865332
28.338096,3.447462,-8.986,2.792186901
28.409641,3.397664,-8.262,2.709659182
28.41154,3.575407,-9.476,2.492687091
28.35941,3.612935,-8.541,2.393412467
28.357623,3.618057,-8.676,2.571352368
28.409723,3.579108,-10.101,2.450159494
28.364865,3.613752,-7.955,2.65032682
28.365517,3.406037,-7.252,2.901802477
28.369645,3.598576,-4.877,3.09447512
28.400822,3.611197,-7.963,2.97665936
28.24233,3.545467,-7.746,3.513238754
28.357464,3.448979,-9.22,3.041649369
28.362999,3.623195,-8.847,2.963108856
28.363557,3.618544,-9.838,3.230840494
28.362105,3.533854,-5.591,3.413323533
28.367831,3.619426,-7.907,3.015652509
28.424826,3.360571,-8.763,2.536110453
28.374407,3.496279,-7.892,2.632162651
28.377348,3.413421,-6.644,2.224374901
28.245145,3.566229,-11.371,2.881203735
28.366364,3.540361,-4.831,2.401283061
28.364426,3.540194,-5.478,2.744771875
28.370509,3.476982,-7.918,2.385693309
28.364477,3.539632,-5.271,2.511415607
28.4207,3.61961,-7.927,2.555928475
28.360992,3.629183,-8.319,3.322978292
28.354515,3.607128,-8.72,2.667656728
28.382826,3.609055,-9.196,3.155141326
28.396512,3.624186,-8.008,2.897896316
28.362455,3.613317,-9.221,2.889700845
28.387814,3.60783,-6.547,2.701376248
28.381972,3.613347,-8.403,2.532189932
28.362599,3.389941,-9.689,2.697265561
28.358778,3.612057,-9.256,3.732751141
28.373468,3.607809,-8.308,3.074055579
28.401589,3.624617,-8.141,3.159997478
28.370999,3.604791,-8.919,2.684098134
28.401657,3.610127,-7.311,2.252586929
28.36202,3.610661,-7.562,2.34771259
28.362095,3.61235,-7.985,2.594252565
28.40288,3.344601,-9.605,2.280016028
28.353003,3.629336,-10.368,2.390937238
28.361271,3.382098,-9.219,2.594850804
28.369979,3.566217,-9.617,2.638479015
28.402337,3.390745,-7.565,2.236621734
28.376714,3.608478,-9.318,2.78169997
28.363485,3.37806,-6.771,2.351879758
28.389233,3.604559,-6.88,3.129697538
28.391023,3.564573,-9.397,2.567135449
28.40293,3.375236,-9.874,2.628173828
28.410086,3.379175,-9.369,2.583704741
28.393008,3.558776,-7.878,2.315706764
28.368617,3.611104,-5.984,2.426610631
28.358933,3.369367,-7.637,3.192473913
28.402702,3.373918,-9.796,2.150853426
28.370089,3.608017,-9.093,2.846269657
28.370471,3.619668,-8.598,3.228580382
28.370996,3.621871,-7.921,3.050049346
28.370601,3.620475,-8.744,3.859627901
28.370689,3.614548,-8.129,2.539566045
28.374669,3.515771,-12.621,3.103015049
28.371032,3.408813,-7.22,2.950854255
28.369628,3.395041,-5.461,2.770038918
28.245589,3.598505,-8.918,2.795601657
28.606894,3.377039,-9.265,2.719275532
28.361833,3.421611,-8.849,2.856399674
28.377386,3.583613,-3.074,2.589076919
28.387575,3.600607,-4.906,2.550758478
28.385947,3.585678,-5.877,2.640843157
28.358674,3.620239,-8.888,3.472043382
28.358601,3.617676,-8.657,2.985478449
28.363306,3.616578,-8.012,2.436956945
28.415214,3.38122,-8.382,2.599164326
28.411077,3.384305,-8.945,2.459923073
28.348061,3.544942,-9.735,2.519209407
28.368135,3.619791,-5.394,2.754144293
28.369978,3.473577,-7.407,2.635479116
28.402481,3.418174,-7.408,2.913915838
28.36898,3.584831,-6.612,3.354539015
28.367566,3.581459,-5.548,2.72703485
28.371271,3.375356,-10.728,2.850955317
28.373437,3.614747,-10.181,2.576883902
28.381236,3.576105,-5.074,2.725465128
28.353889,3.621276,-5.181,2.584256718
28.3983,3.413115,-8.109,2.573031886
28.350726,3.397377,-6.657,2.472007526
28.400355,3.420795,-5.886,2.560784274
28.358628,3.319787,-11.766,2.409214409
28.369618,3.561091,-11.202,2.426483377
28.369018,3.557094,-10.331,2.713770389
28.386511,3.384778,-7.322,2.682874702
28.397902,3.614383,-5.135,2.707073902
28.366029,3.609237,-9.029,3.500615323
28.397699,3.596326,-5.236,2.862396789
28.380152,3.615078,-10.604,2.920014554
28.244215,3.57868,-9.824,2.629485674
28.360925,3.621177,-9.108,3.440006741
28.359858,3.625298,-8.251,2.637049974
28.368114,3.567928,-9.097,2.898772096
28.405532,3.366798,-10.548,2.80619392
28.368197,3.410701,-4.699,2.496506245
28.355262,3.604612,-8.986,2.889539266
28.357659,3.616148,-9.273,2.589460405
28.249672,3.607537,-11.489,2.662916477
28.234232,3.552124,-8.545,2.639117845
28.258175,3.551147,-10.574,2.544478939
28.239474,3.580948,-7.659,2.900497281
28.380207,3.546127,-7.452,2.994429475
28.411849,3.311841,-3.67,2.635708256
28.354842,3.415433,-5.606,2.431321702
28.408712,3.390622,-8.997,2.669163212
28.378,3.611848,-9.128,2.369364671
28.401035,3.388602,-8.71,2.855997365
28.397478,3.385624,-9.168,2.959614139
28.359845,3.366567,-8.077,2.813840631
28.232376,3.57848,-8.654,2.708162224
28.372869,3.583645,-6.538,2.626142869
28.348195,3.398364,-7.251,2.910285143
28.354755,3.391587,-6.637,3.334552301
28.248513,3.550935,-11.243,2.772875917
28.371017,3.490394,-8.874,2.795386818
28.374043,3.378665,-9.353,2.4897927
28.402685,3.400023,-8.389,2.35766198
28.402877,3.395361,-7.299,2.5548311
28.380549,3.38225,-7.264,2.319590962
28.423834,3.372374,-9.501,2.257740935
28.44329,3.377882,-8.39,2.34337126
28.245896,3.555561,-7.733,2.204252378
28.358755,3.355516,-7.053,2.67774145
28.396208,3.581386,-9.019,2.792758309
28.399928,3.578404,-3.713,2.877111234
28.379587,3.543527,-7.873,2.158556533
28.241577,3.564772,-10.485,2.62400438
28.358356,3.610962,-6.964,2.397958173
28.34639,3.407036,-9.71,3.168558903
28.242136,3.567069,-11.21,2.591980441
28.41676,3.55377,-4.108,2.551762504
28.358437,3.611887,-8.479,2.633911034
28.371923,3.61957,-8.411,2.820538184
28.365596,3.473131,-7.063,2.669335332
28.355032,3.40456,-6.607,3.563957625
28.361032,3.403172,-4.077,3.807268292
28.231505,3.564712,-9.541,2.8543356
28.378565,3.476994,-9.496,2.475297109
28.402008,3.41612,-7.277,2.649180514
28.405013,3.41921,-2.583,2.594828886
28.37327,3.608785,-8.006,2.433972493
28.366311,3.418531,-6.442,2.325176041
28.379575,3.617094,-3.922,2.195770707
28.361161,3.447588,-9.297,2.588114055
28.354212,3.435288,-12.524,2.55500537
28.422762,3.369992,-10.885,2.067524155
28.402225,3.560992,-4.524,2.534767636
28.380016,3.52986,-7.076,2.940419882
28.384059,3.379133,-7.212,2.562499978
28.410522,3.383521,-8.347,3.215442767
28.410064,3.443464,-2.5,2.682315517
28.362308,3.623501,-8.468,4.280355892
28.355146,3.615705,-9.456,4.111034833
28.355122,3.617421,-7.641,3.241072437
28.351169,3.616386,-10.582,3.078142205
28.364403,3.625246,-7.948,3.313113016
28.383859,3.586617,-7.58,2.867733263
28.368666,3.612442,-11.988,3.037007399
28.370024,3.623082,-8.881,3.411184834
28.371409,3.604694,-13.796,3.62172932
28.380739,3.598168,-11.739,2.363281209
28.397966,3.611,-5.921,2.549169464
28.356902,3.616549,-7.86,4.124253104
28.351299,3.377317,-8.04,3.471755609
28.360467,3.619616,-8.7,2.465428412
28.369364,3.360753,-5.637,3.017199081
28.364896,3.600778,-5.877,2.465225731
28.351513,3.308979,-4.482,2.742397511
28.358926,3.612286,-6.47,2.651463314
28.369892,3.629458,-7.424,2.553680353
28.385014,3.573824,-4.693,2.718647478
28.402024,3.599014,-6.188,2.68776216
28.36053,3.60974,-8.978,2.430312936
28.362944,3.393564,-9.669,3.165182057
28.370131,3.379789,-6.164,2.559322727
28.374968,3.617343,-8.309,2.312984888
28.362259,3.395472,-9.597,2.817971263
28.380418,3.375736,-2.349,3.017650782
28.35174,3.414573,-4.423,3.36065912
28.342016,3.309844,-3.631,2.942807416
28.384025,3.431997,-12.001,2.770883078
28.347215,3.38624,-6.475,3.50801069
28.375891,3.570323,-5.488,2.6759391
28.3619,3.606673,-8.343,3.675141243
28.355675,3.60728,-8.736,2.893329441
28.403927,3.588665,-5.877,2.789675989
28.384388,3.591059,-9.791,2.640982934
28.258396,3.562043,-10.299,3.305758028
28.40759,3.583766,-7.167,2.339703062
28.362077,3.326981,-5.022,2.381661781
28.369732,3.618467,-8.692,3.271053235
28.261983,3.560129,-7.405,5.151110885
28.256837,3.566973,-9.435,3.561396141
28.260563,3.544187,-7.265,3.410393034
28.269936,3.532362,-9.698,3.078302516
28.259469,3.566776,-8.961,3.198528121
28.278812,3.539325,-10.701,3.491382058
28.262485,3.548413,-8.018,3.070276368
28.282817,3.540827,-10.141,3.472740049
28.254665,3.568209,-8.989,4.137225377
28.2723,3.54217,-10.03,2.915076771
28.27349,3.542362,-10.987,3.156375343
28.272957,3.539215,-10.3,2.655937675
28.257475,3.521509,-9.508,2.784220626
28.266259,3.563471,-10.274,3.473166263
28.28376,3.543239,-10.966,2.621828964
28.256003,3.558227,-7.74,2.775148578
28.261305,3.569796,-8.986,2.748239896
28.262877,3.566142,-10.01,2.909061276
28.263123,3.562466,-9.629,2.795705737
28.2606,3.536923,-8.668,2.523867563
28.259021,3.569155,-10.453,3.23425414
28.277618,3.566968,-5.738,3.3514821
28.37923,3.556527,-7.941,3.14409273
28.380251,3.555845,-8.491,3.310642675
